Datum,URL,Umfang,Methode,Partei,Anteil
2015-04-22,FORSA,2502,"",CDU/CSU,42.0
2015-04-24,DIMAP,1002,"",CDU/CSU,41.0
2015-04-25,EMNID,3210,"",CDU/CSU,41.0
2015-04-29,FORSA,2506,"",CDU/CSU,42.0
2015-05-03,EMNID,3631,"",CDU/CSU,41.0
2015-05-06,FORSA,2001,"",CDU/CSU,42.0
2015-05-07,DIMAP,1506,"",CDU/CSU,40.0
2015-05-09,EMNID,1848,"",CDU/CSU,40.0
2015-05-12,FORSA,2502,"",CDU/CSU,41.0
2015-05-16,EMNID,1941,"",CDU/CSU,40.0
2015-05-20,FORSA,2003,"",CDU/CSU,40.0
2015-05-21,DIMAP,1011,"",CDU/CSU,41.0
2015-05-23,EMNID,2302,"",CDU/CSU,40.0
2015-05-27,FORSA,2503,"",CDU/CSU,39.0
2015-05-30,EMNID,1816,"",CDU/CSU,40.0
2015-06-02,FORSA,2502,"",CDU/CSU,40.0
2015-06-03,DIMAP,1503,"",CDU/CSU,40.0
2015-06-06,EMNID,1467,"",CDU/CSU,40.0
2015-06-10,FORSA,2504,"",CDU/CSU,41.0
2015-06-13,EMNID,2277,"",CDU/CSU,40.0
2015-06-17,FORSA,2502,"",CDU/CSU,41.0
2015-06-19,DIMAP,1001,"",CDU/CSU,40.0
2015-06-20,EMNID,2716,"",CDU/CSU,40.0
2015-06-24,FORSA,2501,"",CDU/CSU,41.0
2015-06-27,EMNID,2746,"",CDU/CSU,41.0
2015-07-01,FORSA,2505,"",CDU/CSU,42.0
2015-07-02,DIMAP,1501,"",CDU/CSU,40.0
2015-07-04,EMNID,2247,"",CDU/CSU,40.0
2015-07-08,FORSA,2502,"",CDU/CSU,42.0
2015-07-12,EMNID,1842,"",CDU/CSU,42.0
2015-07-14,FORSA,2503,"",CDU/CSU,42.0
2015-07-17,DIMAP,1029,"",CDU/CSU,41.0
2015-07-18,EMNID,1942,"",CDU/CSU,43.0
2015-07-22,FORSA,2501,"",CDU/CSU,41.0
2015-07-25,EMNID,1471,"",CDU/CSU,43.0
2015-07-29,FORSA,2501,"",CDU/CSU,42.0
2015-07-30,DIMAP,1504,"",CDU/CSU,42.0
2015-08-01,EMNID,1860,"",CDU/CSU,43.0
2015-08-05,FORSA,2501,"",CDU/CSU,41.0
2015-08-08,EMNID,1858,"",CDU/CSU,43.0
2015-08-12,FORSA,2500,"",CDU/CSU,43.0
2015-08-14,DIMAP,1033,"",CDU/CSU,42.0
2015-08-16,EMNID,2436,"",CDU/CSU,43.0
2015-08-19,FORSA,2500,"",CDU/CSU,43.0
2015-08-22,EMNID,2311,"",CDU/CSU,42.0
2015-08-26,FORSA,2500,"",CDU/CSU,41.0
2015-08-29,EMNID,2311,"",CDU/CSU,41.0
2015-09-02,FORSA,2504,"",CDU/CSU,40.0
2015-09-03,DIMAP,1501,"",CDU/CSU,42.0
2015-09-05,EMNID,2800,"",CDU/CSU,41.0
2015-09-09,FORSA,2503,"",CDU/CSU,41.0
2015-09-11,DIMAP,1021,"",CDU/CSU,42.0
2015-09-12,EMNID,2332,"",CDU/CSU,41.0
2015-09-16,FORSA,2501,"",CDU/CSU,41.0
2015-09-19,EMNID,1882,"",CDU/CSU,40.0
2015-09-23,FORSA,2501,"",CDU/CSU,40.0
2015-09-26,EMNID,1956,"",CDU/CSU,40.0
2015-09-30,FORSA,2506,"",CDU/CSU,40.0
2015-10-01,DIMAP,1501,"",CDU/CSU,40.0
2015-10-03,EMNID,2329,"",CDU/CSU,40.0
2015-10-07,FORSA,2505,"",CDU/CSU,39.0
2015-10-10,EMNID,1871,"",CDU/CSU,38.0
2015-10-14,FORSA,2502,"",CDU/CSU,38.0
2015-10-17,EMNID,1496,"",CDU/CSU,37.0
2015-10-21,FORSA,2502,"",CDU/CSU,38.0
2015-10-23,DIMAP,1000,"",CDU/CSU,38.0
2015-10-24,EMNID,2312,"",CDU/CSU,36.0
2015-10-28,FORSA,2501,"",CDU/CSU,36.0
2015-10-31,EMNID,1869,"",CDU/CSU,36.0
2015-11-04,FORSA,2504,"",CDU/CSU,36.0
2015-11-05,DIMAP,1503,"",CDU/CSU,37.0
2015-11-07,EMNID,2442,"",CDU/CSU,36.0
2015-11-11,FORSA,2503,"",CDU/CSU,38.0
2015-11-14,EMNID,2412,"",CDU/CSU,37.0
2015-11-17,FORSA,2504,"",CDU/CSU,36.0
2015-11-20,DIMAP,1851,"",CDU/CSU,37.0
2015-11-21,EMNID,2319,"",CDU/CSU,37.0
2015-11-25,FORSA,2502,"",CDU/CSU,39.0
2015-11-28,EMNID,2356,"",CDU/CSU,38.0
2015-12-02,FORSA,2501,"",CDU/CSU,39.0
2015-12-03,DIMAP,1503,"",CDU/CSU,37.0
2015-12-05,EMNID,2352,"",CDU/CSU,37.0
2015-12-09,FORSA,2506,"",CDU/CSU,38.0
2015-12-12,EMNID,2321,"",CDU/CSU,37.0
2015-12-15,FORSA,2502,"",CDU/CSU,39.0
2015-12-18,DIMAP,1021,"",CDU/CSU,38.0
2015-12-19,EMNID,2821,"",CDU/CSU,38.0
2015-12-22,FORSA,2504,"",CDU/CSU,39.0
2015-12-26,EMNID,1832,"",CDU/CSU,39.0
2015-12-29,FORSA,1501,"",CDU/CSU,38.0
2016-01-06,FORSA,1503,"",CDU/CSU,38.0
2016-01-07,DIMAP,1504,"",CDU/CSU,39.0
2016-01-09,EMNID,940,"",CDU/CSU,39.0
2016-01-13,FORSA,2503,"",CDU/CSU,38.0
2016-01-15,DIMAP,1027,"",CDU/CSU,37.0
2016-01-16,EMNID,2016,"",CDU/CSU,38.0
2016-01-19,FORSA,2501,"",CDU/CSU,37.0
2016-01-23,EMNID,1875,"",CDU/CSU,36.0
2016-01-27,FORSA,2505,"",CDU/CSU,36.0
2016-01-30,EMNID,1638,"",CDU/CSU,34.0
2016-02-03,DIMAP,1504,"",CDU/CSU,35.0
2016-02-03,FORSA,2501,"",CDU/CSU,36.0
2016-02-06,EMNID,2306,"",CDU/CSU,35.0
2016-02-10,FORSA,2500,"",CDU/CSU,36.0
2016-02-13,EMNID,2090,"",CDU/CSU,35.0
2016-02-17,FORSA,2501,"",CDU/CSU,35.0
2016-02-20,EMNID,2409,"",CDU/CSU,35.0
2016-02-24,FORSA,2502,"",CDU/CSU,35.0
2016-02-26,DIMAP,1028,"",CDU/CSU,37.0
2016-02-27,EMNID,1978,"",CDU/CSU,36.0
2016-02-29,DIMAP,1505,"",CDU/CSU,36.0
2016-03-02,FORSA,2503,"",CDU/CSU,35.0
2016-03-05,EMNID,1869,"",CDU/CSU,35.0
2016-03-09,FORSA,2501,"",CDU/CSU,35.0
2016-03-12,EMNID,2340,"",CDU/CSU,36.0
2016-03-16,FORSA,2505,"",CDU/CSU,35.0
2016-03-19,EMNID,2424,"",CDU/CSU,34.0
2016-03-22,FORSA,2501,"",CDU/CSU,35.0
2016-03-24,DIMAP,1000,"",CDU/CSU,34.0
2016-03-26,EMNID,2828,"",CDU/CSU,34.0
2016-03-30,FORSA,2005,"",CDU/CSU,36.0
2016-04-02,EMNID,1405,"",CDU/CSU,33.0
2016-04-06,FORSA,2004,"",CDU/CSU,35.0
2016-04-07,DIMAP,1505,"",CDU/CSU,34.0
2016-04-09,EMNID,2240,"",CDU/CSU,34.0
2016-04-13,FORSA,2506,"",CDU/CSU,34.0
2016-04-16,EMNID,1941,"",CDU/CSU,33.0
2016-04-20,FORSA,2504,"",CDU/CSU,34.0
2016-04-22,DIMAP,1011,"",CDU/CSU,33.0
2016-04-23,EMNID,2393,"",CDU/CSU,33.0
2016-04-27,FORSA,2502,"",CDU/CSU,33.0
2016-04-30,EMNID,2805,"",CDU/CSU,33.0
2016-05-03,FORSA,2501,"",CDU/CSU,34.0
2016-05-04,DIMAP,1503,"",CDU/CSU,33.0
2016-05-07,EMNID,1838,"",CDU/CSU,32.0
2016-05-11,FORSA,2002,"",CDU/CSU,34.0
2016-05-14,EMNID,1922,"",CDU/CSU,33.0
2016-05-17,FORSA,2501,"",CDU/CSU,34.0
2016-05-20,DIMAP,1015,"",CDU/CSU,32.0
2016-05-21,EMNID,1485,"",CDU/CSU,32.0
2016-05-24,FORSA,2006,"",CDU/CSU,33.0
2016-05-28,EMNID,2881,"",CDU/CSU,33.0
2016-06-01,FORSA,2502,"",CDU/CSU,34.0
2016-06-02,DIMAP,1506,"",CDU/CSU,32.0
2016-06-04,EMNID,1851,"",CDU/CSU,33.0
2016-06-08,FORSA,2501,"",CDU/CSU,34.0
2016-06-11,EMNID,1838,"",CDU/CSU,34.0
2016-06-15,FORSA,2505,"",CDU/CSU,33.0
2016-06-17,DIMAP,1000,"",CDU/CSU,31.0
2016-06-18,EMNID,2744,"",CDU/CSU,33.0
2016-06-22,FORSA,2503,"",CDU/CSU,33.0
2016-06-25,EMNID,1905,"",CDU/CSU,32.0
2016-06-28,FORSA,2501,"",CDU/CSU,34.0
2016-07-02,EMNID,1936,"",CDU/CSU,33.0
